kind	chunk_or_file	col	pageB	our_or_marked_form	B_reads	A_reads	verdict	note
sic	0013	1045D	527	*grem um*	grem um	not viewed	STANDS	B corners 1045/1046; clear space between m and u, no i printed
sic	0016	1059B	534	*approba um*	approba um	not viewed	STANDS	B corners 1059/1060; gap after a, no t printed (approbatum)
sic	0016	1059C	534	*pulchritudinem*	pulchritudinem	not viewed	STANDS	final -em legible (for pulchritudine); m clear, no abbreviation mark
sic	0016	1059D	534	*santissimae*	san-|tissimæ	not viewed	STANDS	line break san-/tissimae; no c before t on either line
sic	0017	1060C	534	*Israelitci*	Israelitci	not viewed	STANDS	t before c, then i; letters distinct at 600 dpi
sic	0017	1061A	535	*equitus*	equi-|tus	not viewed	STANDS	B corners 1061/1062; line break equi-/tus iste?, no -ta- printed
sic	0017	1061B	535	*antiquitatus*	antiquitatus	not viewed	STANDS	Ille ergo antiquus Domini antiquitatus per im-; ant- plainly printed (for equitatus)
sic	0017	1061D	535	*sacra dandarum*	sacra dandarum	not viewed	STANDS	wide space between sacra and dandarum mid-line, no hyphen
sic	0017	1062C	535	*Eccelsia*	Eccelsia	not viewed	STANDS	transposition decided by l before s (-elsia), legible regardless of c/e
sic	0017	1062D	535	*inedicibilis*	ine-|dicibilis	not viewed	STANDS	line break ine-/dicibilis; e after in- (not d), extra syllable printed
sic	0017	1063D	536	Aethiopia	trans flumina Æthiopia (italic)	not viewed	STANDS	B corners 1063/1064; second trans flumina: final italic a, no æ ligature (cf. Æthiopiæ two lines above)
sic	0017	1064A	536	*corde*	corde	not viewed	STANDS	Vasa papyri sunt corde; final letter e-shaped (bowl with bar), not a
sic	0018	1064C	536	*ego*	ego	not viewed	STANDS	Cum armis ego suis; no r printed (for ergo)
sic	0018	1065C	537	*pugnativum*	pugnativum	not viewed	STANDS	B corners 1065/1066; -tivum clear: t, i, v (for pugnantium)
sic	0018	1065D	537	*proportior*	proportior	not viewed	STANDS	tantumque proportior est; -tior with r clear
sic	0050	1170A	589	etrespondebit	etrespondebit	not viewed	STANDS	B corners 1169/1170; italic, no space between et and respondebit
sic	0050	1172D	590	*virtu e*	virtu' e	not viewed	STANDS	B corners 1171/1172; t-width gap between u and e holding only a pinpoint at t-head height (re-checked at 4x high contrast); no t body printed. SAME PHENOMENON as patch 1225C dici(t), which is confirmed on a larger t-tip: orchestrator should apply one policy to both
sic	0051	1175A	592	*exipsius*	exipsius	not viewed	STANDS	B corners 1175/1176; quae exipsius Ecclesiae, no space between ex and ipsius
patch	cruces-0050.md	1175A	592	aqua rum → aquarum	aqua|rum (line break)	not viewed	CONFIRMED	aqua ends line (hyphen not visible, italic), rum virentium begins next line; no word space
sic	0051	1176C	592	*nostrae*	nostræ	not viewed	STANDS	captivitas enim nostræ quae; æ ligature clear (for nostra)
sic	0052	1178C	593	*corum*	corum	corum (p. 595)	STANDS	B corners 1177/1178; initial letter open c, no eye or bar (B has a speck inside the bowl low, not a crossbar); A same, clean open c
patch	cruces-0050.md	1179D	594	inebriata fuerat, qualem → inebriata fuerat. qualem	fuerat. qua-|lem	not viewed	CONFIRMED	round point on baseline after fuerat, no comma tail (zoomed)
patch	cruces-0050.md	1179B	594	eflicit → efficit	e(ff)i-|cit (ligature, crossbars worn)	e(ff)i- same wear (p. 596)	CONFIRMED	line break effi-/cit; two tall strokes after e, 1st with broken hook top, 2nd bending right at top = worn ff ligature, not f+l; A identical
sic	0052	1180B	594	*ab*	ab om-|nino	not viewed	STANDS	in uno eodemque 176 ab om-; b with ascender clear (for aut)
patch	cruces-0050.md	1184C	596	montis et corporis → mentis et corporis	m(e)ntis (e ink-filled below bar)	not viewed	CONFIRMED	B corners 1183/1184; 2nd letter shows a horizontal bar with open upper-right eye and filled lower bowl = inked e, unlike the hollow o of corporis in the same line
