chunk	col	pageA	sic	context
0000	1003D	508	*antebac*	… and because very many of the religious, enticed heretofore 
0000	1004B	508	*protacta*	…ent, superadded to my pastoral cares and hitherto drawn out 
0003	1010D	511	*curi*	…f that highest and perfect charity, by which, all the cares 
0005	1019B	516	*praesumes*	…eat, of such a kind, so confidently and sublimely presuming 
0005	1020B	516	*quaerat*	…onscience, with this intention, that they both may not seek 
0005	1020B	516	*charita em*	…e [n: (Psal. LXXXIII)]*, she may be brought through charity 
0006	1021B	517	*computrui*	…d upon the world in mercy, the yoke of its captivity rotted 
0007	1026C	519	*ostendi se*	…t exultation with which thou didst exult both to have shown 
0007	1026D	519	*labora*	…6D] ointment, that is, of charity, has laboured and labours 
0007	1028B	520	*credentes*	…t advanced to the strength of a bull; because the believing 
0008	1029B	521	*nabeo*	…say in other words: because by the gift of thy grace I have 
0009	1032C	522	*liberamine*	…ing outside discretion, hold their life in the even balance 
0010	1035B	524	justitiaequam	… the rest, there is laid up for me a crown of justice which 
0010	1036B	524	*adreverenter*	…* It is pleasing to attend still more fully, and reverently 
0011	1040D	526	*persecutionem*	…, she is often shaken only by the storms of the persecution 
0012	1042C	527	*Salomanis*	…to put together and how to be the tents of the true Solomon 
0012	1044A	528	judicati saeternae	…you reject it and judge yourselves unworthy of eternal life 
0012	1044B	528	fierit	… gentiles should come in, and so all Israel should be saved 
0013	None		*grem um*	…s, and for this reason were believed to belong to the bosom 
0013	1048B	530	*alicu*	…, he shows by understanding and voice when he gives someone 
0013	1048C	530	tacu	…f preaching, said: *Woe is me, because I have held my peace 
0015	1055B	534	*simultane*	…cretion, who they are who love and follow him not feignedly 
0015	1055D	534	*sed alium*	… perhaps ignorantly to go off into the errors of companions 
0016	1057A	535	*dici*	… knowledge of himself, as by the light too of a certain day 
0016	1057A	535	*dicitur*	… by the light too of a certain day [sic: *dici*], he is led 
0016	1059B	536	*approba um*	…VII)]*, was not heard, nor was such counsel of his approved 
0016	1059C	536	*pulchritudinem*	…orant of herself, she who is adorned with so great a beauty 
0016	1059D	536	*santissimae*	…for the talent multiplied. Accordingly you too, O most holy 
0017	1060C	536	*Israelitci*	…pany of horsemen of the Lord was that army of the Israelite 
0017	1061A	537	*equitus*	…the word of God [n: (Ephes. VI)]. What then is this company 
0017	1061B	537	*antiquitatus*	…the body in which we dwell by living. That ancient company 
0017	1061D	537	*sacra dandarum*	… and mysteries, in the uses of all things to be consecrated 
0017	1062C	537	*Eccelsia*	…rits. But this city, which is taken for the present Church 
0017	1062D	537	*inedicibilis*	… completed, without time, with the reward of an unspeakable 
0017	1063D	538	Aethiopia	…e* is said is declared to be *beyond the rivers of Ethiopia 
0017	1064A	538	*corde*	…dly knowledge? The vessels of bulrush, then, are the hearts 
0018	1064C	538	*ego*	…uity unto sin.* To go down to hell with their weapons, then 
0018	1065C	539	*pugnativum*	…f the law, whether the flight and victory of those fighting 
0018	1065D	539	*proportior*	… temporality and eternity; and the truth is so much greater 
0020	1071D	542	*se posuit*	… beloved sisters, you whom a blessed solitude has set apart 
0020	1074A	543	*nemoriatur*	… bells [1074A] set in the hem of his vestments, lest he die 
0021	1075D	544	*ornament*	…e breast, which so supplies the comeliness of this ornament 
0021	1075D	544	*sive*	…thing of beauty is proved to be had without it: for without 
0021	1077B	545	*sponsio*	…l, and from this may cleave more ardently to the Bridegroom 
0023	1083B	548	*basalmo*	… are propped up in the manner of vineyards. And from balsam 
0023	1084D	548	*hotrum*	… existing there as a living victim, and through the cluster 
0024	1087C	550	*genere*	…o hope in the sacraments of the passion of Christ, to groan 
0027	1095A	554	liliuminter	…ought always to stand among depraved men *as the lily among 
0027	1097A	555	*ani mae*	…and it is plainly the perfect refection of my body and soul 
0028	1100C	556	loribus	…shes with the love of God can say: *Stay me up with flowers 
0031	1105C	559	*praepudiente*	…venly peace, yet, the infirmity of the mind still hindering 
0031	1106D	559	*sponsus*	…o rouse them, as vicars of Christ in office, but as spouses 
0032	None		*sol*	…e indeed thus, and others thus,* to the only-begotten alone 
0032	1110A	561	*per motus*	…sel by word, law, signs and prodigies, until at last, moved 
0032	1110D	561	formo sa	…th to me: Arise, make haste, my love, my dove, my beautiful 
0032	1111D	562	*assumunt*	…n of his beloved, [1111D] in a speech of this kind takes on 
0033	None		*se*	…ER II FOLLOWS. (cont.) But why do I so greatly invite thee 
0033	1113A	563	*solidaria*	…of God also is a singular mirror of chastity, who, solitary 
0033	1113B	563	iu	…earer he stood to God through contemplation; *for he was in 
0034	1118B	565	purvulas	…very faith and preaching when it adds, *catch us the little 
0034	1118D	565	*conturbernium*	…t all, compel them to pass over into [1118D] the fellowship 
0035	1120C	566	*dicautur*	…elatively, that the very thing that they are, they are said 
0036	1123C	568	*praevale*	…s and writings of others, so that what she does not prevail 
0036	1123D	568	*gradiuntu*	…cause many are they who walk by the broad, but few who walk 
0036	1124B	568	*suscitatur*	…h. Such watchmen, then, the beloved, hesitating, questions 
0038	1129A	571	*testitudinis*	…lso is said to have moved stones with the sound of the lyre 
0041	1139D	576	*delectasio*	…re the parts of its progression, namely suggestion, delight 
0041	1139D	576	*praecito*	…s thigh, so that, the head of evil suggestion being cut off 
0041	1140B	576	*insinuaut*	…and daring of this spiritual warfare, what follows suggests 
0044	1148C	580	intrisecus	…says, *are doves' eyes, besides that which lieth hid within 
0044	1148D	580	ea	…r the blind man walketh in darkness and knoweth not whither 
0045	1152D	582	*est*	…one, since the holy soul hardly or never suffices outwardly 
0045	1153D	583	petus	…inst the assailing engines of the vices: For if *The breast 
0046	1155B	584	*pavi*	…* because these instructors of the lesser in the Church are 
0046	1157D	585	montitibus	…anir and Hermon, from the dens of lions, from the mountains 
0046	1157D	585	canditatio	…m this thy whitening, for Libanus is interpreted *whitening 
0047	1160D	586	*es*	… in the nourishments of the virtues the life of the soul is 
0048	1162D	587	*soculorum*	… that *every one went before his face:* the one of the eyes 
0049	1169B	591	*husjusmodi*	…hese sacraments are not admitted into a garden of this kind 
0050	1170A	591	etrespondebit	…ers, and it shall be said to him: Read, and he shall answer 
0050	1172D	592	*virtu e*	…drunk, the entrails are healed, because while by the virtue 
0051	1175A	594	*exipsius*	…m, which flows forth from the fountain of the Church itself 
0051	1176C	594	*nostrae*	…as a torrent in the south [n: (Psal. CXXV)]*: *171* for our 
0052	1178C	595	*corum*	…of minds in hearers? For as the Apostle says to one of them 
0052	1180B	596	*ab*	… the same time, in one and the same, *176* they must either 
0054	1186D	599	inferrus	…because *love is strong as death, and jealousy hard as hell 
0055	1191B	602	*pereunctantium*	…e beloved, that she may kindle the souls of those inquiring 
0056	1194A	603	*qui a*	…od. And they are said to be *as palms lifted high,* because 
0056	1194A	603	*ub*	…ly things to the loving and seeking of heavenly things, and 
0057	None		*secundam*	…the virtues. They are as *lilies,* because they both give a 
0058	1200B	606	*secerdotium*	…rtified and adorned, namely the kingship and the priesthood 
0058	1201C	607	*tranquil itate*	…rt, of the priesthood, may so act in peace and tranquillity 
0059	1205D	609	*ad ipisci*	…ood of this friendship, by which they may be able to attain 
0061	1213B	613	*begninitas*	…will, and that nothing is hidden from him; but his kindness 
0062	1215C	614	*Christianonorum*	…ooks as in four voices, by which the soul of all Christians 
0063	1221B	617	*Evangeiii*	…use I did not yet at all understand the grace of the Gospel 
0068	1235A	624	*bone*	…riety of the members composed from the habit of a mind well 
0069	1239C	626	*beatudinis*	…be the more kindled to seek the future goods of blessedness 
0070	1243C	628	*inexusabilis*	…knowledge of his Creator, so that he may not be inexcusable 
0072	1249B	631	*tui*	… called thee forth to the pursuits of the virtues, but thou 
0074	1257D	635	obrumbratio	…I Joan. III)]*, and *there is no* change there, *nor shadow 
0075	1262D	637	*cliguntur*	… always uncertain while *many* are called, *few* are chosen 
0079	1274A	643	*in suavem*	…orm of such singing is confused, it generates an unpleasant 
