page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
54	0099	a	In codice hæc omnia : *Postea vero tam frixorii quam suspensionis in equuleo ac ignis pœnuriam passi, malleo ad extremum ligneo* in litura versantur. Eadem tamen exhibent codices omnes. Vetustior igitur hæc litura est, quam ullum Usuardini Martyrologii apographum. BOUILLART.	malleo ad extremum ligneo (a) manibus eorum contritis	yes, key read at the plate 2026-09-21 (leaf n54, corners 99/100), transcribed by the translating stint; see src/english/9215/cruces-0000.md	cn
59	0109	a	Ista cryptarum dedicatio San.-Germanensis Ecclesiæ ita propria est, ut mirum non sit eam ab iis qui Martyrologium Usuardi exscripserunt, fuisse prætermissam. Sollerio tamen satis est argumenti, longam illam orationem tribuendam Usuardo non esse, quod alii codices fere omnes repugnant, et præsertim Pratensis B, in quo Sirmondus erasam esse testatus est. Hæc postrema ratio, fateor, Sollerio debuit nonnihil negotii facessere. Sed in culpa est tamen, cum eam ob causam negat ab Usuardo scriptum esse, quod perfecta scripturæ similitudo scriptum ab illo fuisse persuadet. Nodus erat solutu difficilis ? Expectaret aliquandiu, seque sustineret ; percunctaretur per litteras quid apud Usuardum cryptæ sint ; cur semel et iterum annuntietur illa dedicatio ; cur illam Pratensis codex B silentio prætereat. Hæc erant accurati editoris. Paucis nodum solvo. Ubi nunc in monasterio San-Germanensi exstrunctum visitur elegantissimum B. Virginis Mariæ sacellum, cryptæ olim fuerunt, seu altaria subterranea, quorum dedicationis festus dies, Usuardi tempore, Kalendis Junii agebatur. Postea eadem dedicatio celebrata est IV Idus, ut pate ex Prat. codicibus ; quæ tandem celebrari desiit, postquam B. Mariæ sacellum ab Hugone de Yssiaco, monasterii Pratensis abbate, cryptarum loco erectum est. Jam si quæsierit Sollerius cur illius dedicationis commemoratio in Prat. codice B. deleta fuerit, in promptu est ratio. Destructis altaribus, quod accidit dum in usu erat iste codex, desita est annuntiari illorum dedicatio; hincque factum est ut illam recentiores codices, seu a quadringentis annis exarati, prorsus omitterent. BOUILLART.	[ *Addit Bouill.:* (a) Parisius, monasterio beati Germani	yes, key read at the plate 2026-09-21 (leaf n59, corners 109/110), transcribed by the translating stint; see src/english/9215/cruces-0000.md	cn
64	0119	a	Nihil hic de Castellano queror. Imo in Pratensem codicem videtur hoc loco propensior fuisse quam par erat. Nam quantum ex Sollerii in hunc et sequentem diem observationibus et ex præfatione conjectare possum, non admonitus fuit eruditus ille scriptor, avulsum ex codice Pratensi folium, aliudque ejus loco assutum fuisse. Forte Castellani oculis fucum fecit membrana æque exstrita, atramentum æque decolor, forma litterarum haud multum assimilis, ut fere coævam et eamdem nullo discrimine manum habuerit. Sed firmioribus causa nostra nititur subsidiis, quam ut quidvis dissimulare debeamus, præsertim cum hujusmodi nævus magis illi faveat quod adversetur. Hinc enim reliqui codicis vetustas, elegantia, dignitas magis enitescunt, ut umbræ tabellis addunt decus. Itaque his diebus 3, 4, 5 et 6, codicem arbitrio Sollerii permitto. Corrigat, mutet, addat, detrahat ; nihil ad me attinet BOUILLART.	[ *Addit Bouillart.:* (a) Civitate Niveduno sanctorum Zotici	yes, key read at the plate 2026-09-21 (leaf n64, corners 119/120), transcribed by the translating stint; see src/english/9215/cruces-0000.md	cn
111	0213	a	De tribus ultimis commemorationibus Carolinum autographum sic habet : *Aninsulæ in monasterio, sancti Carilefi presbiteri. Item in territorio Remensi sancti Theodorici presbtieri. In portu Valentianas, sancti Salvii confessoris.* In suo Codice Usuardus, pro *Aninsulæ in monasterio*, scripsit, *in pago Cinomannico*. Quæ correctio non hoc loco tantum, sed etiam pluribus aliis occurrit. Causam hanc esse verisimile est, quod plerisque multo minus nota sint peculiaria quædam loca, quam regiones, ubi sita sunt. Ut igitur quibus futurum in usu erat martyrologium, illi facilius perspectum haberent quibuscum communis ipsis erat in sanctum quempiam veneratio ; regiones potius ubi sanctorum cultus celebris erat, quam loca designavit. Forte etiam causæ huic accessit altera, nempe ut variaret orationem. Jam ante scripserat *in territorio Lugdunensi* pro peculiari loco, ubi sanctus Domicianus obierat et colebatur : postea scripsit *in pago Cinomannico* ut eodem modo alia tamen voce denotaret locum, ubi notus erat sanctus Carilefus. Atque sic minus affert fastidii vox *territorium*, qua in tertia commemoratione uti debebat. Addo hujus generis correctiones non venire in mentem interpolatori. Sane ejusmodi homines addere, demere, transferre soleant ; sed quid lucri est peculiaris loci nomen delere ut generalius regionis nomen indicetur? De sancto Theodorico nihil est, quod in tuenda correctione laborem. Illum presbyterum in Carolino autographo vocaverit ; confessoris titulo donaverit in suo codice, perinde est, et in nugis hujusmodi hariolari non vacat. Salvius autem quam docte hinc erasus fuerit, patet ex iis quæ ad diem 26 Junii observavimus. Denique sanctum Leonorium apposite hic memoratum fuisse, res est extra [n112:] controversiam posita. Leonorius ille est, qui a puero educatus et primis religionis Christianæ elementis a sancto Hilduto imbutus, postea episcopus sine sede creatus est, ut Christi nomen quocunque ferre liberius posset. Celebris fuit sexto Ecclesiæ sæculo, regnante in Gallia Childeberto, cui acceptissimus erat. De illo plura narrant Usserius in Britannicarum Ecclesiarum antiquitatibus et Cointius in Annalibus Ecclesiasticis Francorum, quæ huc referre præsentis non est instituti.	sancti Eparchi confessoris. (a) In pago Cinomannico	yes, key read at the plate 2026-09-21 (leaf n111→n112, corners 213/214 (cont. 215/216)), transcribed by the translating stint; see src/english/9215/cruces-0000.md	cn
114	0219	a	Hanc codicis Pratensis lectionem, *sanctae Monegundis Deo sacratae*, Sollerius *optimam* esse confitetur. Sed quia Heriniensis et Tornacensis codices *religiosam* legunt, timuit ne vel in rebus nihili Pratensem antetulisse videretur.	Monegundis religiosae [ Bouillart. (a) Deo sacratae]	yes, key read at the plate 2026-09-21 (leaf n114, corners 219/220), transcribed by the translating stint; see src/english/9215/cruces-0004.md	cn
143	0277	a	Post Damascenos martyres in Carolino autographo sic : *Civitate Corduba sancti Pauli diaconi et martyris. Ipso die sanctae Margaritae virginis.* Utraque illa commemoratio nunquam ab Usuardo facta scripto est. Unus duntaxat versus scalpello rasus est ; quod spatium nunquam Paulum et Margaritam continere potuit. Cur ergo Codices omnes, praeter Pratensem, utrumque commemorant ? forte memoriter Margaritam dictavit Usuardus : forte etiam paulo post Usuardum addita est. Nodus inextricabilis, donec ex aliqua Bibliotheca prodeat Codex ipse, qui Carolo regi oblatus fuit. Quod ad sanctum Paulum attinet, difficile dictu cur illum deleverit Usuardus : nam ipsi videntur cordi fuisse sancti ex Hispania, et suum hic Paulus occupasset locum ; si quidem teste domno Eulogio martyre, obierit ille XIII Kal. Augusti, feria 2, an. 851. Quantum conjectura assequi possum, concurrentibus eodem die duobus sanctis, quorum alter longinquae regionis, alter vicinus erat, hunc alteri praeposuit Usuardus. Sancti Vulmari vitam habes parte I tertii saeculi Bened., p. 234.	. . . . . cum aliis decem. (a) In pago Bononiensi	yes, key read at the plate 2026-09-21 (leaf n143, corners 277/278), transcribed by the translating stint; see src/english/9215/cruces-0004.md	cn
176	0343	a	Locus ubi nunc legitur sancti Severi commemoratio, erasus olim fuit. Item articulus sequens a capite ad calcem totus est scalpello laceratus, tacente Sollerio et correctionem admittente. Quinam olim fuerunt sancti his locis memorati ? quo abierunt, R. P., tui illi antiqui codices, unde sumendam putas primigeniam Usuardi nativamque simplicitatem ? Illos in medium profer, ut soles, ostenta. Nihilne fraudis hic et imposturae latet ? nonne *Usuardi symmista aliquis exstitit, qui suum stylum ad Usuardinum accommodandum esse censuerit ?* Sed, amoto ludo, fatere tandem lituras et emendationes nihil quidquam nocere Usuardini textus puritati, cum, quae totum codicem descripsit, eadem correxit manus.	tempore Diocletiani imperatoris. (a) Apud Viennam Galliae urbem	yes, key read at the plate 2026-09-21 (leaf n176, corners 343/344), transcribed by the translating stint; see src/english/9215/cruces-0004.md	cn
182	0355	a	Pro *eodem die passi sunt Romae sub praefecto Pertinace*, quae suo codici Usuardus addidit, in Carolino autographo sic erat : *Passi sunt item eodem die in praefata urbe.* Correctionem ab Usuardo factam esse nemo sanorum oculorum dubitaverit. At unde didicerit eodem die passos illos esse martyres, praefectum Urbis tunc fuisse Pertinacem ; Nimmiam et Julianam aliosque viginti socios Quiriaco, Largioni et Crescentiano adjungendos esse ; omnes denique illos martyres die XII Augusti in coelos migrasse, plane nescio. Nihil horum videre memini in Actis B. Marcelli apud Monbritium, nec uspiam alibi. Sed haec omnia argumento sunt Usuardum ex Adone aliisque Martyrologiis sumpsisse quae pro suis uteretur, cum nihil melius habuit ; multaque legisse, quae nunquam illi legerant. Utinam quae sanctorum illorum martyrum Acta vidit, ea nunc e tenebris prodirent. Nam in iis quae sunt edita, quot versus totidem fere fabulae. BOUILLART.	Quiriacus [ Bouillart.: (a) eodem die passi sunt Romae	yes, key read at the plate 2026-09-21 (leaf n182, corners 355/356), transcribed by the translating stint; see src/english/9215/cruces-0004.md	cn
183	0357	a	Aequali quidem, sed certe non eadem manu addita est huic articulo sancta Radegundis ; quam tamen ut ab Usuardo scriptam admittit Sollerius, nulla interim pristinae liturae facta mentione, quam dissimulat, quoties nihil in suis codicibus occurrit quo Pratensi codici actionem interpolationis intendere valeat. Nec ullum hujus liturae in Dervensi codice, vestigium quamvis omnino duo versus erasi fuerint. Fuerunt igitur erasi ante ullum aliud exemplum. Ergo ab auctore. BOUILLART.	dilata morte faciebat. (a) Pictavis, sanctae Radegundis	yes, key read at the plate 2026-09-21 (leaf n183+n184, corners 357/358+359/360), transcribed by the translating stint; see src/english/9215/cruces-0004.md	cn
199	0389	a	Multum differt Carolinum autographum. Zacheus qui quarto loco hic, in Dervensi codice ponitur secundo. Claudius ejusque socii, qui secundam in Pratensi, tertiam in Dervensi sedem occupant. Denique sanctus ille Claudius, qui quatuor in Pratensi socios habet, nonnisi duos habet in Dervensi, nempe Asterium et Neonem. Atque ut haec omnia corrigeret Usuardus, in suo codice totos quinque versus oblitteravit. Non dicam eamdem esse manum, id centies iterasse sat est. Videamus quibus causis ad corrigendum adductus fuerit Usuardus. De ordine quo sanctos illos composuit, Sollerius, opinor, auctorem in jus non vocabit. Res est nihili, in qua defendenda religioni fuerit immorari. Neque etiam inficiabitur Pratensis codicis censor, Claudio, Asterio et Neoni recte adjectas fuisse Domninam et Theonillam. Habemus eorum acta proconsularia integra atque germana, ubi quinque illi martyres nominatim ad confitendam fidem vocantur et suppliciis cruciantur ; et in fine, *habita est passio haec in civitate Aegea, sub Lysia praeside*, x *Kal. Sept. Augusto et Aristobolo consulibus*. In Carolino autographo non fuerunt haec verba, *qui post acerba tormenta cruci affixi sunt*, quae tamen Sollerius ut Usuardina suo articulo inseruit. Tres martyres Claudius, Asterius, Neon in Dervensi codice nulla addito nominantur. BOUILLART.	Claudii, Asterii, Neonis, (a) Domninae et Theonillae	yes, key read at the plate 2026-09-21 (leaf n199, corners 389/390), transcribed by the translating stint; see src/english/9215/cruces-0004.md	cn
