chunk	col	leaf	ours	ocr	context
0000	0013	11	dum	dam	ad latendum supererat locus, dum ad investigandum eum omnes
0000	0027	18	die	dio	laesus. Ubi festum eadem die concursum fideles populi usque
0000	0033	21	Christianus,	christianas	qui a primaeva aetate Christianus, cum esset in castris
0001	0101	55	Sardiniae,	sardinia	martyrio coronatus est. Turribus Sardiniae, sanctorum martyrum Gabini et
0002	0109	59	quae	qua	ejus exarata se reperisse, quae tanto, inquit, amplector et
0002	0113	61	Hi	illi	Gratae, cum aliis quadraginta. Hi omnes famuli Christi, sicut
0002	0123	66	passi,	finem	passi, sed Romae in via
0002	0143	76	eorum	eoram	eorum appositae, quibus mox Dei
0003	0183	96	santae	sancte	In Britannia, natalis santae Ediltrudis virginis, cujus corpus
0003	0193	101	secundus	secundas	fratrum, quorum primus praepositus, secundus primicerius Constanciae virginis filiae
0003	0199	104	Cordubae,	corduba	mortis exitu martyrium compleverunt. Cordubae, sancti Zoili martyris, cujus
0003	0199	104	nomine	nomino	venerabili episcopo ejusdem loci, nomine Agapio, ex divina revelatione
0003	0203	106	est.	pii	est. III *Kal. Die* Romae,
0003	0213	111	collectus	collectas	gloriosis miraculis valde clarus, collectus est ad patres in
0004	0253	131	Cartaginensis	carthaginensis	Africa, sanctorum confessorum Eugenii Cartaginensis episcopi, fide ac virtutibus
0005	0281	145	cum	cura	natalis sancti Victoris, qui, cum esset miles, et nec
0005	0281	145	milites,	scilicet	milites, Alexander, Felicianus et Longinus.
0005	0291	150	beati	beat	Nicetae et Aquilinae, quae beati Christofori martyris praedicatione ad
0006	0335	172	sunt	autem	sunt cum eo et alii
0006	0337	173	tenere	teneri	Et mox a Daciano tenere jussi, cum se mutuis
0006	0343	176	natalis	passio	Die* Romae via Ostiensi, natalis beati Ciriaci diaconi et
0006	0355	182	viginti.	nempe	viginti. Item urbe Falari, passio
0006	0357	183	vocatis	uocalis	qui cum adorare noluisset, vocatis pueris, quibus docendo exosus
0006	0365	187	Romae	rom	apocriphum, inde tenendo docere. Romae via Appia, sancti Tharsicii
0007	0389	199	cum	cura	Donati, Restituti, Valeriani, Fructuosae cum aliis duodecim, qui praeclarissimo
0007	0393	201	translatum,	translatam	insulam Liparis, deinde Beneventum translatum, pia fidelium veneratione honoratur.
0007	0393	201	sunt	sont	trecentorum martyrum, qui passi sunt tempore Valeriani et Galieni:
0007	0393	201	adeptus	adeptos	despiciens, sanctitatis merito, episcopii adeptus est honorem. Nivernis,
0007	0401	205	ducis	dacis	martyris, viri spectabilis et ducis ex legione sanctorum Thebeorum.
0007	0415	212	quidam	quidem	duceretur, obvius ei fuit quidam Christianus; hic dum se
0008	0439	224	gloriose	glorioso	nomine Christi passus fuisset, gloriose coronatus, victor migravit ad
0008	0439	224	Portu,	porta	Dominum. Item Romae in Portu, natalis sancti Herculani. Capuae,
0008	0451	230	ultimum	ult	craticula assari, atque ad ultimum laqueo necari. Interjecto autem
0008	0477	243	Narcissi	marcelli	Item Romae, sanctorum martyrum Narcissi et Crescentionis. Apud Leodium,
0008	0491	250	Alexandri	quirini	Alexandri episcopi, qui pro fide
0009	0529	269	variis	uanis	Leodegarii Augustudunensis episcopi, quem variis injuriis et diversis suppliciis
0009	0551	280	sanctae	sancta	martyris. In territorio Laudunensi, sanctae Benedictae virginis et martyris.
0010	0589	299	Romae,	rom	gloriose passi sunt. Item Romae, sanctae Triphoniae, uxoris Decii
0010	0597	303	diaconi	etc	exceptio sanctorum martyrum Georgii diaconi et Aurelii. XII *Kal.
0010	0609	309	conditus	conditas	Servandus vero Hispali conditus est. Civitate Colonia, sancti
0011	0655	332	fuit,	fait	incomparabilis fuit, quievit autem Philippi imperatoris
0011	0681	345	publicum,	publicam	heremo militare, procedens ad publicum, ac se Christianum libera
0012	0695	352	qui	quid	Ipso die, sancti Eugenii, qui apud pagum
0012	0703	356	pretiosae	pretiosa	Victoriae, ubi ob commendationem pretiosae mortis eorum, eodem die
0012	0719	364	Hostia	ostia	sancti Mauri martyris. Civitate Hostia sanctorum martyrum Demetrii et
0012	0729	369	Tusciae	tuscia	interemptae sunt. Apud Perusiam Tusciae civitatem sancti Felicissimi. VII
0012	0745	377	cum	com	Romae sancti Rufi, quem cum omni domo sua Diocletianus
0012	0747	378	omni	toto	cerebro et omni corpore dilaniato, dignam Christo
0012	0751	380	ultimum	ultimam	caesus, ad ultimum vero in cruce appensus,
0013	0755	382	Dariae	dari	sanctorum martyrum Crisanti et Dariae virginis, qui post multas,
0013	0755	382	obrui.	uiginti	obrui. Item Romae, sanctorum martyrum
0013	0775	392	*Idus.	kal	*Idus. Die* Romae, natalis beati
0013	0801	405	Die*	xii	Die* Apud Africam beati Valeriani
0013	0807	408	Tuscia,	nicomedie	Tuscia, passio sanctae Barbarae virginis,
0014	0819	414	illum	illam	oculis ac nutibus conabantur illum erigere. Cumque hac de
0014	0829	419	nec	neo	et nec nubere vellet, nec sacrificare, post multa facta
0014	0857	433	fecerunt.	fecerant	martyrii sui confessione illustrem fecerunt. Et in eadem urbe,
