page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
n041	73/74	0073	a	S. Secundinus lituram occupat in codice. Quis olim aut quae ejus loco fuit? Nullo tamen scripturarum discrimine. BOUILLART.	Cordubae, Secundini (a) martyris.	yes, key read at the plate 2026-09-22 (leaf n041, corners 73/74)	cn
n072	135/136	0135	a	Haec dedicationis mentio minime Usuardina visa est Sollario, de ea silentibus quamplurimis codicibus, testante Sirmondo expunctam fuisse ex Pratensi B, fatente denique Castellano recentiore manu sibi adjunctam videri. Sed in re quae soli sancti Germani monasterio convenit, quid probat aliorum codicum silentium? Neque quidquam ponderis habet Sirmondi animadversio. Postquam a Nortmannis B. Petri oratorium cum sanctorum Vincentii et Germani basilica destructum fuit et incensum, simul a dedicationis solemnitate cessatum est, atque adeo a facienda illius mentione in codice qui in capitulo legebatur. Quid tandem de Castellani monito dicam? Taedet eamdem membranam, idem atramentum, manum eamdem semper occinere: commentum oculis refellendum relinquo. BOUILLART.	Apud monasterium S. Germani, dedicatio (a) oratorii in honore	yes, key read at the plate 2026-09-22 (leaf n072, corners 135/136)	cn
n074	139/140	0139	a	Sollerius hic insigne praebet aequitatis exemplum. Jam observavi nec semel suorum codicum silentium sibi esse pro norma qua Pratensem dijudicat: proinde sanctos huic additos esse recentiore manu, quos in suis minime reperit. Ut vero sibi constet, ad suas partes trahit illa etiam addimenta, quae tribus minimum saeculis Usuardo posteriora esse nemo unquam inficiatus est. Quid injustius? Monitus dubio procul a Castellano fuerat, Landericum recentiore manu fuisse adjectum. An ea causa potuit aut debuit Pratensem inter puros codices non recensere? Credo equidem, qua est severitate, non mitius acturum fuisse cum Pratensi, si quis e nostris SS. Franciscum Assissiatem, Ignatium Loyolitam, Theresiam, aut alios nostrae memoriae sanctos, vacuis spatiis impressisset. BOUILL.	[ Addit Bouill. (a) Parisius, sancti Landerici episcopi	yes, key read at the plate 2026-09-22 (leaf n074, corners 139/140)	cn
n082	155/156	0155	a	De sancti Mercurii mentione, quam ex codicum suorum silentio et litura Pratensis inductam esse autumat Sollerius; ab ejus judicio ad sanos oculos appello. Si vel levissimum scripturae discrimen suspicentur, causam non dico, quin super inductam esse judicent. Additam fuisse verum est, sed ab Usuardo; unde sumptam, non liquet. Illius martyris Acta penes nos olim fuerunt, siquidem in ms. nostrorum codicum indice memorantur n. 461. Sed illa reperire non potui. Forte non restituit is cui mutuo data fuerant, forte etiam sublata furta sunt. De Alexio, margini addito, non est quod Pratensi codici moveat litem, nam nullum est Martyrologium, quod saltem in usu fuerit, quin hujusmodi additamentis infarciatur. Et quid mirum? An oportuisset integrum volumen describi quoties sanctus aliquis in Fastis addebatur? BOUILLART.	[ Interserit Bouillart: (a) Civitate Benevento, sancti Mercurii	yes, key read at the plate 2026-09-22 (leaf n082, corners 155/156)	cn
n086	163/164	0163	a	Pro S. Gundulfo Carolinum autographum habet: Eodem die, S. Vulmari confessoris admirandae sanctitatis et religionis viri. Quam commemorationem ex Adone sumptam delevit postea Usuardus, et S. Gundulfum substituit. Utrumque erudite. Nam non hoc die, sed xx Julii S. Vulmarum vita excessisse suo loco dicam; et S. Gundulfi mentio opportunius, quam hoc die, fieri non potuit. Locus est, quem assignavit Henschenius ipse, qui Breviarium Bituricense, tabulas ejusdem ecclesiae, et purissimos cum exaratos manu, tum editos Usuardi codices allegat. Quo tempore, cujus sedis episcopus fuerit sanctus ille Gundulfus, hactenus ignoratum est. Qui translationis et miraculorum historiam scripsit, Gundulfum ait Mediolensem archiepiscopum fuisse. Mettensem episcopum dicit in vita S. Radegundis Venantius Fortunatus. Sed neque Mediolanenses, neque Mettenses suis illum praesulibus annumerant. Neque id exploratum fuit Usuardo, qui sedem appellare non omisisset, si nota ipsi fuisset. BOUILLART.	viri:* (a) In territorio Bituricensi, sancti Gundulfi	yes, key read at the plate 2026-09-22 (leaf n086, corners 163/164; note run-over anchor spans plate leaves 85/86, column 0163 fires the key)	cn
n088	167/168	0167	a	In ms. Germ. est vacuum spatium unius vocabuli. BOUILLART.	in pedibus acutos (a) [clavos] acceperunt.	yes, key read at the plate 2026-09-22 (leaf n088, corners 167/168)	cn
n093	177/178	0177	a	Alii elio loco, aliis verbis Eusebium Caesariensem codices annuntiant. Cum igitur nihil hic de Pratensi queratur Sollerius, qua causa illum posthabuit aliis multo recentioribus, qui sic Eusebii commemorationem efferunt: Civitate Caesarea Palestinae, sancti Eusebii episcopi et confessoris, viri excellentissimi ingenii et historiographi? Si Sollerium audias tamen, quo breviora sunt et simpliciora elogia, eo magis Usuardina sunt. At docta haec et erudita Eusebiani elogii brevitas in Pratensi codice servata, falso in aliis confessoris titulo aucta fuerat: et certum erat Pratensem negligere, quoties ab aliis discreparet. Quod si sui codices ut Pratensis, Pratensis autem ut sui codices Eusebium annuntiarent, vah quam triumphasset Sollerius! quantis laudibus Usuardinam simplicitatem commendasset! [unsigned]	[ Bouillart.: (a) In Cesarea Palestinae sancti Eusebii	yes, key read at the plate 2026-09-22 (leaf n093, corners 177/178); note is unsigned in NOTAE, immediately follows the OBSERVATIONES header	cn
n100	191/192	0191	a	Verum est. Huic articulo subdit Pratensis sancti Eligii translationem. Sed quid hoc in re peccavit? Facta est haec translatio medio septimo saeculo et in Gallicanis ecclesiis praecipue celebrata: ut extra culpam non esset iste codex si eam omisisset; et non omisisse vitio dat Sollerius: quanquam Pratensi consentiunt septem ex codicibus quos vidit, et undecim quos ipse. BOUILLART.	[ Addit Bouillart. : (a) Item translatio sancti Eligii	yes, key read at the plate 2026-09-22 (leaf n100, corners 191/192)	cn
n102	195/196	0195	a	In Solleriana editione Vigilius hoc loco motus est et ad xxxi diem Januarii retroactus, ubi Sollerius erasum fuisse disputat, et nos confitemur. Sed hoc loco non ab re fuerit lectorem admonere quo alio nomine suspecta Sollerio sit Vigilii commemoratio. Nimirum illi minus arridet longa illa oratio, quae a nativa Usuardi simplicitate omnino abhorret, quamque multo magis refert ista, qua xxxi Januarii usus fuerat: Apud Trientinam urbem, sancti Vigilii episcopi et martyris. Imo brevitas illa et simplicitas ita Sollerium delectat et capit, ut illam pro norma esse velit: Valeat hic, inquit, receptissima nostra regula, videlicet, primigeniam puritatem eo magis elucescere, quo textus brevior fuerit et simplicior. At, Solleri, cur die xxi hujus mensis Eusebii elogium tam breve, tam simplex repudiasti, praetulisti compositum et falsis titulis inflatum? Cur die xxv Pratense sancti Gallicani elogium, quamvis articulum fere totum impleat, Usuardinum esse judicasti? multo brevius et simplicius tuus Tornacensis codex repraesentabat. Cur die xviii Maii Marci et Marcelliani elogium exscripsisti totum? Quam breve, quam simplex tibi offerebat Pulsanensis codex: Romae, natalis SS. martyrum Marci et Marcelliani. Idem die xv simpliciter nominat Vitum, Modestum et Crescentiam; cur totos tres versus maluisti? Tornacensis codex media fere parte truncat beati Nazarii martyris elogium die xiii. Cur Pratensem aliosque illi praehabendos existimasti? Quid multis moror? Nullam fere toto tuo Martyrologio diem vidi, qua aliud alio brevius et simplicius elogium non afferatur, et qua simul a tua regula non recesseris. Jam tu a me non postulas, ut rationibus approbem Vigilium ab Usuardo ex die xxxi Januarii erasum et in hanc diem justa causa fuisse reservatum. Rem tui fatentur: Diem martyrii, inquiunt, acta nulla exprimunt: sed ecclesia Tridentina festum S. Vigilii celebrat vi Kal. Julii, verosimiliter ut natalem. Talem certe videtur judicasse Florus Lugdunensis, quando suis ad Bedae genuinum Martyrologium additamentis, S. Vigilii elogium addidit. Neque solum ex hoc articulo Vigilium expunxit Pratensis codicis reprehensor, sed et Salvium Engolismensem, cujus loco Perseverandam substituendam esse censuit. Quibus tandem argumentis? Silentio suorum codicum de sancto Salvio, et eorumdem de Perseveranda consensione. Jam dixi non semel utrumque istud argumentum nullius esse roboris: mirandum non esse quod Solleriani codices de cujuspiam sancti mentione consentiant qui deest in Pratensi, aut in illis desint sancti, quos Pratensis exhibet; id inde accidisse, quod omnes fere codices e primo Usuardini Martyrologii exemplo transumpti fuerint, et ab Usuardo deletae commemorationes fuerint, quae sibi minime probabantur; aut additae, quas potiores ducebat. Itaque hinc erasit Perseverandam, quia lectis actis advertit non vi sed vii Kal. hujus mensis obiisse diem. Sic enim Acta: Celebratur depositio ipsius virginis vii Kalendas Julii, etc. Salvium autem subrogavit, quia hunc esse mortis ejus diem Acta testantur: Martyrizati sunt pariter S. Salvius et discipulus ejus cum eo sub Vuinegardo vi Kal. Julii. Sin inficiatur Sollerius ab Usuardo lecta fuisse S. Salvii Acta, quidni Florum et Wandalbertum imitatus fuisset qui ambo hoc die de illo praesule mentionem fecerunt? Hic admoneo Sollerium male oculatum fuisse hoc die ejus inspectorem, qui lituram in Pratensi codice sibi videre visus est. Sana tota est haec pagina, intacta tota a scalpelli acumine. Sed unum est ex paucis illis foliis, quae substituta sunt loco eorum quae Usuardus ipse avulsit: aut quia prae liturarum numero legi non poterant, aut quia scalpelli acies membranam ipsam laceraverat. Cur autem Castellanus scripserit deletum fuisse Salvium, causam hanc fuisse suspicor. In altero post Salvium folio, paulo superius tamen, medius versus scissus est aut sectus, ita ut supera litterarum pars ab infera separetur. Ne vero litterae illae excederent, manus recentior quidem, sed illis tamen temporibus vicina, supra rimam aut scissionem scripsit quod supererat ex S. Marcelli elogio sic: tari viro martyrio coronatus est. Ante autem in superiore versu sunt haec, una cum Anastasio mili... Itaque de folio scripsit quod in altero viderat oculatissimus Castellanus, cujus tamen testimonio fretus noster censor sic in Pratensem codicem declamitat: Jam vero Pratensem illum codicem hic denuo erasorum et superscriptorum, quidni et suppositorum nominum vitio laborare comperit in hisce rebus oculatissimus clar. Castellanus, qui fontem consuluit, etc. Deinde sollicite investigat unde petitus Salvius in nostrum codicem inductus fuerit, suspicaturque e Sangermanis monachis aliquem fuisse, qui hoc additamento sinceram et primigeniam Usuardi simplicitatem interpolaverit. Quibus nugis, ne quid dicam asperius, refellendis tempus non consumam. Dixisse Sollerio dolebit, et pro indictis haberi volet. (BOUILLART.)	martyrii palmam gladio caedente perceperunt. (a) Apud Trientinam urbem	yes, key read at the plate 2026-09-22 (leaf n102, corners 195/196); note runs the full NOTAE section across both page columns, signed (BOUILLART.) at the end	cn
n109	209/210	0209	a	Haec verba, non tamen... scribit, a Sollerio praetermissa sunt in sua Usuardi editione, quae tamen vere sunt Usuardina et in autographo pure, simpliciter et prima manu conscripta, nullo liturae vestigio, nullo atramenti discrimine, eadem litterarum forma. Idem Aratoris testimonium refert Dervensis codex, ut non dubium sit quin fuerit ab Usuardo scriptum. Quidquid garrit Sollerius in hunc locum, Usuardum Adonis opinioni adhaesisse; ut istum, sic et illum somniasse utrumque apostolum non evoluto anni tempore, sed uno eodemque Neronis xvi martyrium subiisse; Aratoris sententiam a recentiori aliquo sciolo esse intrusam: haec omnia verba sunt, praetereaque nihil. Hic non quaero utrum ducem sequi debuerit Usuardus, Adonem an Aratorem. Adoni favent Dionysius Corinthius, Bucherii Kalendarium, Epiphanius, Hieronymus, Asterius et concilium Lateranense sub Gelasio: ante Aratorem in eadem sententia fuerant Prudentius, Augustinus, Nilus apud Photium. At si verum est, quod affirmat Lateranense concilium, postremam hanc opinionem ab haereticis fuisse profectam, nescio qua mente dicere potuerit Sollerius hoc esse Adonis somnium, nisi forte somnium illud ad Adonem venerit ex porta cornea, qua veris datur exitus umbris. [unsigned]	excepit una [ Addit Bouillart.: (a) Non tamen eadem die	yes, key read at the plate 2026-09-22 (leaf n109, corners 209/210); note is unsigned, follows the NOTAE header	cn
