page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
225	0441	a	Non e margine in textum irrepsit haec commemoratio: Senones sanctorum Germanorum, etc., ut ex ambiguis indiciis conjecit Sollerius: sed etiam num in margine legitur et quidem superiori. BOUILLART.	Bouillart. add. in margine: (a) Senones, sanctorum germanorum	yes, key read at the plate 2026-09-22 (leaf n225, corners 441/442)	cn
227	0445	•	In Carolino autographo, sancti Chlodoaldi presbyteri et confessoris. Non debuit Sollerius hac in re Pratensem codicem suis anteferre, qui nihil nisi primigenium admittere volebat: nam id elogii additum ab Usuardo fuit. BOUILLART.	sancti Chlodoaldi presbyteri (a), tam generis	yes, key read at the plate 2026-09-22 (leaf n227, corners 445/446; key printed as a raised dot/period, not a letter, both in the band and at the note head)	cn
248	0487	a	Carolinum autographum primam inter et secundam annuntiationem haec interserit: Item temporibus Adriani imperatoris, passio beatorum Eustachii cognomento Placidi et uxoris ejus Theospis, quorum miri actus leguntur. Nec verbum habet de Eulogio Cordubensi. Tamen Heriniensem Codicem, qui purissimus erat, hoc die respuit Sollerius. Rogo qua causa? quatuor versus obliterati erant in Pratensi Codice; Heriniensis, suus Achilles, Pratensi repugnabat. An quidquam aliud alibi causae fuit, cur Pratensem rejiceret? Caeterum non miror quod Usuardum Eulogio aequalem, martyrii prope oculatum testem, hallucinatum fuisse non est credibile. Sollerii sententiam amplector et ipsius verbis declaro. Mihi certe dubium non est, quin Usuardus qui fere cominus Cordubensia certamina intuitus est, rationem pro eo tempore gravem habuerit cur Eulogium hoc die potius quam XI Martii collocaret. BOUILLART.	Civitate (a) Corduba, beati Eulogii presbyteri	yes, key read at the plate 2026-09-22 (leaf n248, corners 487/488) - note signed BOUILLART set under NOTAE with a damaged raised mark before it, but no corresponding key was found anywhere in the printed band despite a full-resolution search (same pattern as the known n399 case in cruces-0012: key not located). Anchor position is inferred at the entry the note discusses (Corduba/Eulogii), not read from a band mark.	cn
257	0505	a	Bene monuit Castellanus Aunarii annuntiationem erasam fuisse, et pressiori charactere fuisse denuo scriptam, ut sanctus Sollempnis accedere posset. Verum ista correctio ejusdem aetatis et auctoris est, cujus tres aliae quas jam hoc mense vidimus. Dervensis enim cum Heriniensi codice consentit, et sanctum Sollempnem refert. Utriusque igitur autographi est correctio adeoque vel primo exemplo antiquior. BOUILLART.	Autisiodoro (a), sancti Aunarii episcopi	yes, key read at the plate 2026-09-22 (leaf n257, corners 505/506; band and note both at the top of n257, continuing the entry begun on n256)	cn
267	0525	a	Toti septem hujus laterculi versus miserabiliter scalpello turpati. Ampla Sollerio divinandi materia, si Castellanus admonuisset. Si admonuisset autem? Cessare potuit in tanto rerum cardine ille inspector, qui variationes quantumvis exiles solertissime adnotavit? Non advertit tam deformem lituram, qui translationem sancti Vedasti, rem nihili; suggessit Sollerio manu recentiore fuisse articulo subnexam? Exscribit tamen sanctos illos omnes tam rigidus alias Pratensis codicis reprehensor. Fuit, opinor, e Sangermanis aliquis, qui a suo codice Grevenum et Molanum dissentire animadvertens, suum stylum ad Usuardi accommodavit. BOUILLART.	charactere Italico: (a) Et translatio corporis	yes, key read at the plate 2026-09-22 (leaf n267, corners 525/526); key sits at the head of Bouillart's own italic addition, inside his bracket	cn
286	0563	a	Non quaedam hic verba, non aliquot versus, sed articulus a capite ad calcem scalpello miserabiliter faedatus laceratusque est, nec veteris articuli ullum superest vestigium. Versa tuos codices, R. P., quo abiit primigenia Usuardi simplicitas, si non auctor ipse, sed perfidus corruptor correctiones in codicem Pratensem induxit? BOUILLART.	Quirini et Pientiae. (a) In Scotia, sancti	yes, key read at the plate 2026-09-22 (leaf n286, corners 563/564); band and note both at the top of n286, continuing the entry begun on n285	cn
289	0569	a	« Pratensem codicem, inquit Sollerius, a puris exclusimus, quia in fine additamentum habet: *Ipso die sanctorum confessorum Giraldi et Leoboni.* » Ignosco, si monitus non fuit sanctos illos confessores a recentiore manu fuisse additos. BOUILLART.	Italico charactere: (a) Ipso die sanctorum	yes, key read at the plate 2026-09-22 (leaf n289, corners 569/570); key sits at the head of Bouillart's own italic addition, inside his bracket	cn
295	0581	a	Pro in pago Bituricensi scribit Sollerius in territorio Bituricensi. Quo auctore? An quia litura hic est in Pratensi codice? Sed sanctum Ambrosium Caturcensem pariter in litura positum admittit. Deinde frigide ait: *Habet praeterea Pratensis additamentum: monasterio Dervo, sancti Bercharii abbatis et martyris.* Atque eam ob causam solus Molanus aut purus aut puro proximus est. Quae causa tamen non videtur justa, nisi quia dissimulat, quod probe noverat, illud additamentum esse recentioris manus. Dervensis codex Ambrosium Caturcensem non episcopum, sed confessorem vocat, additque: *Item in territorio Tullensi, sancti Elifii martyris.* BOUILLART.	Bouillart.:* (a) sancti Amorosii Caturcensis	yes, key read at the plate 2026-09-22 (leaf n295, corners 581/582; band at top of page, continuing the entry from n294); the note is printed under VARIANTES LECTIONES rather than immediately below the band, matching the pattern seen elsewhere in this work; the plate prints Ambrosii at both points in the band, while our Latin (0010.md) has Amorosii at the second - anchor keeps our file's spelling.	cn
297	0585	a	Sancti Vincentii commemorationem merum esse additamentum censet Sollerius ex Heriniensis et Tornacensis probatissimorum codicum auctoritate, quamvis decem codices ipse referat, qui Pratensem imitantur, et eandem lectionem habeant nostri omnes. Jam diu me contineo quin dentem in duos illos codices figam. Sed nimium diu patiens fui. Mirabitur fortasse lector qui possim codicum auctoritatem deprimere, quos neque vidi, neque videre potui: at id habet commodi Sollerii censura, quod, quibus maxime fidit praesidiis, ea ipse aut bona fide aut negligentia propat. Quanti fieri debeant illi duo codices, indicio erit, si quidquam aliud, usus quem hactenus Sollerio praestiterunt. Diebus hujus mensis I, XI, XV, XVI; Septembris I, III, VII, X, XX, XXV, XXVII; Augusti XIX, XXV; Julii I, XIXVIII; Junii I, III, VIII, XXI, XXIII; Maii I, IX, XXIX; Aprilis XXX; Martii XVI, XXV; Februarii III, X, XV; Januarii XXIII; ambo e puris excluduntur: et quibus alteruter excluditur, tot per annum sunt dies, ut numerandi taedium ferre non potuerim. Hic additamentum est, illic omissio, nunc elogii resectio, alibi pravae et corruptae lectiones. Ex iis codicibus Pratensem Sollerius corrigit scilicet, BOUILLART.	Addit Bouillart.:* (a) In territorio Nivernensi	yes, key read at the plate 2026-09-22 (leaf n297, corners 585/586)	cn
301	0593	a	Etsi manus recentior in margine SS. Savinianum et Potentianum inscripserit, nihilominus tamen inter puros codices Pratensem recensuit Sollerius. Lectorem obsecro ut advertat qua ratione motus id fecerit: quia, inquit, quae sunt ad marginem apposita recentius, textus integritati nihil officiunt. Eadem aequitate fuit 18 Januarii, 21 Februarii, 13, 25 Aprilis, 15 Maii, 8 et 28 Julii, 6 Septembris. Quaeso te, Solleri, dic mihi quid intersit discriminis inter ea, quae ad marginem sunt recentius apposita; et ea quae in residuo articuli spatio sunt recentius addita? Tu dicis in tua praefatione nihil a te contra Pratensem codicem disputatum et discussum, nisi veritatis indagandae gratia. Ego te per illud veritatis studium, quo flagras, oro atque obtestor ut mihi discrimen istud assignes. Si vero non possit, qua fide quo veritatis studio, 10 Junii propter sanctum Landericum; 18 Julii propter S. Arnulfum; 1 Septembris propter S. Egidium; 3 ejusdem mensis propter S. Gregorium; 19 Novembris propter S. Odonem, Pratensem codicem inter puros enumerare dedignatus es? Rursus, si ad marginem recentius apposita textus integritati nihil officiunt, cur die 24 hujus mensis codicem Pratensem rejicis, quamvis Maglorius extra textum et in margine sit inscriptus? Frustra dissimulas te monitum a Castellano fuisse. Nemo crediderit id ejus aciem effugisse, quem ubique praedicas oculatissimum inspectorem. BOUILLART.	in margine:* (a) Translatio sanctorum martyrum	yes, key read at the plate 2026-09-22 (leaf n301, corners 593/594); the key appears only at the head of the note under NOTAE, not on any word inside the band itself despite a full-resolution search (same pattern as n248 and the known n399 case in cruces-0012); anchor position is inferred at Bouillart's own addition, the entry the note discusses.	cn
305	0601	a	In Dervensi codice ante ultimam commemorationem, *Civitate Lugdunensi, sanctae Ciliniae matris* beatissimi Remigii Remorum archiepiscopi. BOUILLART.	beati Justi Lugdunensis episcopi (a).	yes, key read at the plate 2026-09-22 (leaf n305, corners 601/602); the archive copy clips the whole left margin and column of this page (601 is not printed on it at all), so both the key and the note text were read on Gallica f301 rather than the archive.	cn
313	0617	a	Articulum claudit in Dervensi codice: *Remis metropoli, sancti Celsini confessoris.* BOUILLART.	sancti Hilarii episcopi et confessoris (a).	yes, key read at the plate 2026-09-22 (leaf n313, corners 617/618)	cn
