class	nextWord	prevChar	mark
conjunction	or	d	COMMA
conjunction	but	e	COMMA
conjunction	that	y	COMMA
conjunction	that	n	COMMA
conjunction	and	t	COMMA
conjunction	which	e	COMMA
conjunction	and	l	COLON
conjunction	that	n	COMMA
conjunction	so	s	COMMA
conjunction	which	d	COMMA
conjunction	that	e	COMMA
conjunction	nay	t	COMMA
conjunction	which	s	NONE
conjunction	so	h	COMMA
conjunction	so	?	PAREN
conjunction	which	h	COMMA
conjunction	that	g	NONE
conjunction	which	)	UNSURE
conjunction	and	d	COMMA
conjunction	or	e	COMMA
conjunction	that	e	COMMA
conjunction	but	n	COMMA
conjunction	that	e	SEMI
conjunction	which	w	COMMA
conjunction	who	r	COMMA
conjunction	who	k	COMMA
conjunction	that	r	COMMA
conjunction	which	s	COMMA
conjunction	so	w	COMMA
conjunction	yet	e	COMMA
conjunction	for	m	PERIOD
conjunction	yet	o	SEMI
conjunction	for	s	COMMA
paired	are	f	NONE
paired	to	d	NONE
paired	the	s	NONE
paired	will	*	COMMA
paired	their	e	NONE
paired	most	d	COMMA
paired	let	e	COMMA
paired	supply	g	NONE
paired	concerning	s	COMMA
paired	to	y	COLON
paired	which	m	COMMA
paired	that	y	COMMA
paired	if	n	PAREN
paired	nor	t	COMMA
paired	cause	g	COMMA
paired	to	e	UNSURE
paired	as	d	COMMA
paired	the	y	COMMA
paired	angels	s	COMMA
paired	that	h	COMMA
paired	that	s	COMMA
paired	opinions	e	NONE
paired	that	s	COMMA
paired	so	w	COMMA
paired	before	s	NONE
paired	to	s	COMMA
paired	_	y	COMMA
paired	_	s	COLON
paired	_	y	NONE
paired	straightway	e	COMMA
paired	to	g	COMMA
paired	namely	d	COMMA
paired	of	s	COMMA
paired	it	s	COMMA
paired	in	s	COMMA
paired	if	e	COMMA
paired	the	h	NONE
paired	that	h	COMMA
paired	nay	g	COMMA
paired	both	)	NONE
paired	he	t	COLON
paired	leaving	o	COMMA
paired	namely	t	COMMA
paired	betroth	s	COMMA
paired	who	e	COMMA
paired	it	d	COMMA
paired	the	t	NONE
paired	nay	y	SEMI
paired	bride	k	NONE
paired	that	t	COMMA
paired	as	e	COMMA
lowercase	proclaimed	s	COMMA
lowercase	as	t	COMMA
lowercase	this	m	COMMA
lowercase	future	"	UNSURE
lowercase	if	n	COMMA
lowercase	provided	l	COMMA
lowercase	namely	s	COMMA
lowercase	the	s	NONE
lowercase	in	e	COMMA
lowercase	namely	e	COMMA
lowercase	rising	n	COLON
lowercase	excepting	e	COMMA
lowercase	you	t	COMMA
lowercase	inasmuch	s	COMMA
lowercase	to	e	COMMA
lowercase	it	*	NONE
lowercase	then	n	NONE
lowercase	if	s	COMMA
lowercase	some	d	COMMA
lowercase	because	e	COMMA
lowercase	though	r	COMMA
lowercase	has	g	NONE
lowercase	of	d	COMMA
lowercase	save	r	COMMA
lowercase	thus	y	NONE
lowercase	layers	s	NONE
lowercase	is	y	COMMA
lowercase	to	e	COMMA
lowercase	to	y	NONE
lowercase	namely	d	COMMA
lowercase	if	d	SEMI
lowercase	to	t	COMMA
lowercase	the	!	NONE
lowercase	in	k	COMMA
lowercase	of	t	NONE
lowercase	although	d	COMMA
lowercase	whether	d	COMMA
lowercase	he	k	COMMA
lowercase	with	]	COMMA
lowercase	of	s	COMMA
lowercase	according	n	COMMA
lowercase	such	s	COMMA
lowercase	as	f	COMMA
lowercase	either	d	SEMI
lowercase	saying	d	NONE
lowercase	both	s	COMMA
lowercase	the	s	NONE
lowercase	either	d	COMMA
lowercase	illumined	n	NONE
lowercase	namely	e	COMMA
lowercase	as	t	COMMA
lowercase	both	r	NONE
lowercase	to	n	COMMA
lowercase	he	n	COMMA
lowercase	whether	g	COMMA
lowercase	naked	d	SEMI
lowercase	they	*	COMMA
lowercase	not	s	COMMA
lowercase	these	d	COMMA
lowercase	is	d	COMMA
lowercase	although	n	COMMA
lowercase	with	e	COMMA
lowercase	is	e	COMMA
lowercase	a	d	COMMA
lowercase	understand	e	SEMI
lowercase	the	y	SEMI
lowercase	blotted	s	COMMA
lowercase	understand	s	COMMA
lowercase	than	d	COMMA
capital	I	y	COMMA
capital	I	)	COMMA
capital	I	n	NONE
capital	I	g	COMMA
capital	I	t	SEMI
capital	I	s	COMMA
capital	_	w	COMMA
capital	_	s	COMMA
capital	_	u	NONE
capital	I	e	COMMA
capital	I	h	COMMA
capital	I	"	NONE
