page	col	note_no	note_text	anchor_words	anchor_in_our_latin
580	1147	1	Forte *describendum*.	nulli hominum, ante te scribendum (1), inspiciendumve commisi	yes
581	1150	2	Forte *discernat*.	sed hæc tanquam vana dijudicet, et quæ sunt altiora his decernat (2) et appetat	yes
583	1154	3	Forte, *spe*.	et in ipsa specie (3) quadam et futurorum promissione delectari pariter et quiescere	yes
585	1157	4	Forte *duximus*.	magnum diximus (4), et in oculis nostris hoc mirabile reputavimus	yes
587	1161	5	Forte *in mortalium*.	sicque viam sibi paraverat, qua immortalitas (5) corda illaberetur	yes
590	1167	6	Forte *accendimur*.	dono gratiæ spiritualis extendimur (6). Infirmos vero visitare	yes
590	1167	7	Forte *infirmat*.	Quod non solum corporaliter infirmanti (7), sed ægrotanti spiritualiter exhibendum est	yes
590	1167	8	Forte *invalescit*.	Languor enim spiritus in multis adeo convalescit (8), ut jam in iis nec confessionis sit vox	yes
591	1170	9	Forte *creatori*.	Qui de terra formavit Adam, illa die de pulvere eriget universos; ut creationi (9) jam totum debeamus, nihil carni	yes
591	1170	10	Forte *ibique*.	carnis vigor spiritus omnia possidebit ; ubique (10) secundum carnem jam pater non erit, aut mater	yes
595	1178	11	Forte *se*.	veniat, sic (11) ducem praebeat, et cum duxerit	yes
596	1179	12-13	*qui alio*.	quo pertrahar ad te, quo alias (12-13) divertere non sinat me	yes
596	1180	14	ILLEGIBLE	Optans itaque bonis (14) dona, eosque ad meliora pertrahi desiderans	yes  [note_text downgraded 2026-08-18: see cruces]
599	1185	15	f. *obvolvit*, ut infra.	Omnes enim nigredo involvit (15), vel qualis ex persecutione corporis est	yes
601	1190	16	f. *et*.	benedicens benedicit, modo, scilicet, duplici (16) benedictione	yes
602	1191	17	Joannis etiam Apocalypsis.	et Actus eorum, quos scribit Lucas, « Paulus etiam apostolus (17). »	yes
602	1191	18	f. *id castitate perimatur*.	quod incontinentia suggerit, « in castitate perimat (18); »	yes
603	1193	19	f. *mentis*.	ea quae sunt spiritus, mente (19) oculis anteponit	yes
603	1194	20	f. *fertur*.	paululum simul et paulisper iratus effertur (20) juxta quod dictum est	yes
604	1196	21	f. *addictas*.	postquam civitates peccato additas (21) sulphure perdens et igni	yes
605	1197	22	*Ministeria*.	quibus sua exercet mysteria (22), quibus Sponsam, quam ex hominibus elegit	yes
606	1199	23	f *auditoribus convenientia suspiciuntur ministrare*.	unde placent, unde auditorum conviventia suscipiuntur ministrare (23). Ait itaque	yes
607	1201	24	f. *sinit*.	suis tuetur precibus, nec ejus sint (24) suggestionibus aut deflecti, aut certe omnino submitti	yes
608	1203	25	f. *ministerio*.	et in carne nostra expleto mysterio (25) ob quod venerat, ascendit in coelos	yes
610	1208	26	f. *laedit*.	quae irrationabiliter non irascitur, nec dicto, nec facto quemquam (26) sed quantumcunque offensa	yes
611	1210	27	f. *De*.	non est quo ulterius refici desideremus, (27) hac itaque pulchritudine dictum est	yes
616	1219	28	f. *quod*.	nihil nostrae devotionis existat quae (28), nos ad quid aliud quam ad Deum trahat	yes
616	1220	29	f. *Huic*.	nec contepescat quousque illud apprehendat. (29) Hic florem violae, candorem lilii, rubentes rosas	yes
618	1223	30	f. *jamque*.	cum centenarius est, aut majoris forte numeri, jamjam (30) vergit in senium	yes
618	1223	31	f. add. *post*.	foras extrahit, manducat, atque consumit; et (31) coenam hanc haustu fontis aquae purioris potus	yes
618	1224	32	f. *Designantur*.	(32) Defiguntur hic tempora actionis et contemplationis. Contemplationis quidem tempora grata sunt	yes
620	1228	33	f. *hos*	quiescit, vel evolutus spiras protrahit; et hæc (33) quidem sic declinat, sicut nulla communicatio Christi ad Belial.	yes
621	1230	34	f. *minas et cædes.*	de misericordia nihil speraret, sed totus (34) « minis et cædis » in malum spiraret.	yes
622	1232	35	f. *superata.*	quemque ex ea genitum mundi mala percurrere, et crucifixum spreta (35) morte resurgere	yes
622	1232	36	f. *constringuntur.*	noctis vero tenebræ profundiores sunt; qua gelu cuncta perstringuntur (36), qua hiemali glacie rigent universa	yes
622	1232	37	f. *homicidium.*	testatur et Lamech (37) « homicida; » testatur etiam hoc sæculorum impuritas	yes
622	1232	38	f. *cohibent.*	diem sibi noctemque fere continuans, quam nec tecta continent (38); qua flumina ingurgitantur	yes
623	1233	39	f. *subito*, vel, *cum dicto.*	ut meæ præceptionis imperium tuæ sub dicto (39) sequatur obeditionis obsequium	yes
624	1236	40	f. *una.*	jam percepta requiescant. Hæc quidem illic (40) futura est, quæ hic per partes plures dividitur	yes
626	1240	41	f. *quod usque.*	sed ego hodie, et in tempore quousque (41) ad mortem meam futurum est	yes
626	1240	42	f. *Nolentes*	inferiores partes terræ intrasse videbuntur. Dolentes (42) enim Romanis subjici, contriti sunt in ore gladii	yes
626	1240	43	f. *quid facere debeat.*	quia se non metitur homo « quid debeat, quid faciat (43), » quid fieri juste oporteat	yes
