page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
n169	0265D	1	A *ierarchya*.	inscriptio de ecclesiastica Ierarchia (1), humanae naturae	yes — key position read at the plate (archive n169), 2026-09-16	vl
n169	0265D	2	Sic C, *suam* in cod. A m. glossatoris supra adscr.	per gratiam suam (2) coadaptavit	yes — key position read at the plate (archive n169), 2026-09-16	vl
n169	0266D	3	C, sit.	ultima vero dignitate legale fit (3) sacerdotium	yes — key position read at the plate (archive n169), 2026-09-16	vl
n169	0266D	4	Sic C, A *vanis*.	Quod in variis (4) valde et	yes — key position read at the plate (archive n169), 2026-09-16	vl
n169	0266D	5	*et* om. C	in variis valde et (5) obscuris symbolis	yes — key position read at the plate (archive n169), 2026-09-16; no closing point visible after C	vl
n170	0267A	1	Sic C, A *veritate*.	ipsam veritatem perspicua claritate (1) contemplabimur	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267A	2	Sic C, A *praesens ut diximus ecclesiastica*.	Ideoque praesens, ut diximus, ecclesiastica (2) ierarchia media est	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267A	3	Sic C, A *epigrammata*.	*Epygramma (3) in beatum Dionysium	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267B	4	Hic incipit cod. Vat.	*Dionysii (4) Areopagitae episcopi	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267B	5	*ecclesiastica* om. A.	episcopum de ecclesiastica (5) ierarchia secundus	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267B	6	*secundus liber sic incipit* om. C.	secundus liber sic incipit* (6).	yes — key position read at the plate (archive n170), 2026-09-16; plate key after incipit, before the full stop	vl
n170	0267B	7	A sacrament[u?]m *prius prius ponens*.	mysticum sacramentum prius (7) ponens	yes — key position read at the plate (archive n170), 2026-09-16; u/n in sacramentum blotched ("sacramentuni")	vl
n170	0267B	8	B sacramentis *consecrationibus misteriorum fuerit*.	mysteriorum consecrationibus fiunt (8), angelico	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267B	9	B *ierarchia*.	et praecipue ierarcha (9), id est sacerdote	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267C	10	Sic C, B *qui unius de angelis*, A qui unus *angelis*.	qui unus de angelis (10) secundum fas	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0267C	11	*in* om. B.	maxime in (11) ministerio sancti	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0268A	12	*uni ordo*.	uniformis et uniordo (12) symbolis	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0268A	13	B *u[n?]itiacione*.	videlicet chrismatis initiatione (13) ordinem Seraphim	yes — key position read at the plate (archive n170), 2026-09-16; comma patch applied at merge; second letter of the variant blotched	vl
n170	0268A	14	A *s[c/a]nctissimis*.	in omnibus sanctissimus (14) sanctificat	yes — key position read at the plate (archive n170), 2026-09-16; second letter reads c, possibly a damaged a	vl
n170	0268A	15	C *omni nos sanctificatione*.	omni sanctificatione nos (15) replet in ipso	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0268A	16	Sic C., *ex* om. AB.	atque ex (16) Deo natos	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0268A	17	B *circumstante*.	Deo natos, circumstare (17), et multilauda	yes — key position read at the plate (archive n170), 2026-09-16	vl
n170	0268B	18	Quae sub numeris I-VII hic habentur, in A supra post *epigrammata* extant.	VII. *De perficiendis in dormientibus (18).*	yes — key read at the plate after *dormientibus* (capitulum VII, col 268B); text restored by TEI patch at merge 2026-09-16; a SENTENCE on the vl layer	vl
n170	0268B	19	A *ministerium*.	quomodo perficitur mysterium (19) capituli	yes — key read at the plate after *mysterium* (col 268B); text restored by TEI patch at merge	vl
n170	0268C	20	A *item*.	iterum (20) mysterii synaxeos	yes — key read at the plate after *iterum* (col 268C); text restored by TEI patch at merge	vl
